Commit SHA,Java File,Old function signature,New function signature
8b0f3b007a8ace9c96f1f42c88c9aa84a81d9a4d,OperationMerge.java,OperationMerge::MergeObservable<T>::MergeObservable( Observable<?extends Observable<?extends T>> sequences),OperationMerge::MergeObservable<T>::MergeObservable( Observable<?extends Observable<?extends T>> sequences , int maxConcurrent)
2a4122c11b95eaa3213c2c3e54a93d28b9231eec,OperationScan.java,OperationScan::scan( IObservable<T> sequence , Func2<T,T,T> accumulator),OperationScan::scan( Observable<T> sequence , T initialValue , Func2<T,T,T> accumulator)
4746752f368fcfc0e687510f1d30626ff3a39d8c,OperationScan.java,OperationScan::scan( Observable<T> sequence , Func2<T,T,T> accumulator),OperationScan::scan( Observable<T> sequence , R initialValue , Func2<R,T,R> accumulator)
707d9cb0e8961adccb4e982d34e1709327d9e0b6,OperationScan.java,OperationScan::scan( Observable<T> sequence , Func2<T,T,T> accumulator),OperationScan::scan( Observable<T> sequence , T initialValue , Func2<T,T,T> accumulator)
fd78b7cda45098cec4e7e4acb2d41992c0b77955,OperationScan.java,OperationScan::scan( Observable<T> sequence , Func2<T,T,T> accumulator),OperationScan::scan( Observable<T> sequence , R initialValue , Func2<R,T,R> accumulator)
eba7ccba10e5cddd5323b169238ce4de98fe31ee,OperationScan.java,OperationScan::scan( Observable<T> sequence , Func2<T,T,T> accumulator),OperationScan::scan( Observable<T> sequence , T initialValue , Func2<T,T,T> accumulator)
306d20746600595dbb76fbe2e9dedca4d534c3a6,OperationScan.java,OperationScan::scan( Observable<T> sequence , Func2<T,T,T> accumulator),OperationScan::scan( Observable<T> sequence , R initialValue , Func2<R,T,R> accumulator)
f8cba6a95d01052a3262d01a27dd27ded7f68dc6,OperationScan.java,OperationScan::scan( Observable<T> sequence , Func2<T,T,T> accumulator),OperationScan::scan( Observable<T> sequence , R initialValue , Func2<?super R,?super T,?extends R> accumulator)
1ca5900c0fc5809efb5129d24c3f7faf2354f74d,OperationScan.java,OperationScan::scan( Observable<T> sequence , Func2<?super T,?super T,?extends T> accumulator),OperationScan::scan( Observable<?extends T> sequence , R initialValue , Func2<?super R,?super T,?extends R> accumulator)
3501fe74ad2588757e1b4d72ca321990a70610dd,OperationScan.java,OperationScan::scan( Observable<?extends T> sequence , Func2<T,T,T> accumulator),OperationScan::scan( Observable<?extends T> sequence , R initialValue , Func2<R,?super T,R> accumulator)
60ad0cfa2afddb110b02361a087bfe50b9ed56e7,OperationScan.java,OperationScan::scan( Observable<?extends T> sequence , Func2<T,T,T> accumulator),OperationScan::scan( Observable<?extends T> sequence , R initialValue , Func2<?super R,?super T,?extends R> accumulator)
f8787aa184c6756a7640f29f0a480da40ce7df10,OperationScan.java,OperationScan::scan( Observable<?extends T> sequence , Func2<?super T,?super T,?extends T> accumulator),OperationScan::scan( Observable<?extends T> sequence , R initialValue , Func2<R,?super T,R> accumulator)
