Commit SHA,Java File,Old function signature,New function signature
1f442884aa1454bf8f5d18c9429d6a3ae20ae349,Result.java,Result::Result( String text , ResultPoint [ ] resultPoints),Result::Result( String text , ResultPoint [ ] resultPoints , BarcodeFormat format)
ea13f8b0525a8560894a7b69fb06f09fe3059f1a,Result.java,Result::Result( String text , ResultPoint [ ] resultPoints , BarcodeFormat format),Result::Result( String text , byte [ ] rawBytes , ResultPoint [ ] resultPoints , BarcodeFormat format)
8f7a3346cb11b69336291a5aac08a004655a7746,BlackPointEstimator.java,BlackPointEstimator::estimate( int [ ] histogram),BlackPointEstimator::estimate( int [ ] histogram , float biasTowardsWhite)
e19e9a83f6b4f9acb3e78a0e952d068c1a51766e,BlackPointEstimator.java,BlackPointEstimator::estimate( int [ ] histogram),BlackPointEstimator::estimate( MonochromeBitmapSource source , BlackPointEstimationMethod method , int argument)
cde4d22ece635b03a16db9b13dee6d3da03e601d,GF256.java,GF256::GF256(),GF256::GF256( int primitive)
cde4d22ece635b03a16db9b13dee6d3da03e601d,GF256.java,GF256::addOrSubtract(int a,int b),GF256::addOrSubtract( int a , int b)
cde4d22ece635b03a16db9b13dee6d3da03e601d,GF256.java,GF256::exp(int a),GF256::exp( int a)
cde4d22ece635b03a16db9b13dee6d3da03e601d,GF256.java,GF256::log(int a),GF256::log( int a)
cde4d22ece635b03a16db9b13dee6d3da03e601d,GF256.java,GF256::inverse(int a),GF256::inverse( int a)
cde4d22ece635b03a16db9b13dee6d3da03e601d,GF256.java,GF256::multiply(int a,int b),GF256::multiply( int a , int b)
cde4d22ece635b03a16db9b13dee6d3da03e601d,GF256Poly.java,GF256Poly::GF256Poly( int [ ] coefficients),GF256Poly::GF256Poly( GF256 field , int [ ] coefficients)
cde4d22ece635b03a16db9b13dee6d3da03e601d,ReedSolomonDecoder.java,ReedSolomonDecoder::ReedSolomonDecoder(),ReedSolomonDecoder::ReedSolomonDecoder( GF256 field)
ae46d12d21b2373ccace9e92fe43f65576998cdb,ReedSolomonDecoder.java,ReedSolomonDecoder::decode( int [ ] received , int twoS),ReedSolomonDecoder::decode( int [ ] received , int twoS , boolean dataMatrix)
d56fb38427f907546bcae0424dedc68f62dc61d4,ReedSolomonDecoder.java,ReedSolomonDecoder::findErrorMagnitudes( GF256Poly errorEvaluator , int [ ] errorLocations),ReedSolomonDecoder::findErrorMagnitudes( GF256Poly errorEvaluator , int [ ] errorLocations , boolean dataMatrix)
916edd548e39b383a7dff5471ab210ea6a23bf53,BitMatrixParser.java,BitMatrixParser::readVersion(),BitMatrixParser::readVersion( BitMatrix bitMatrix)
171bd88c5dc5a6896176d51b5ebf43c416bf9c98,DecodedBitStreamParser.java,DecodedBitStreamParser::decode( byte [ ] bytes , Version version , ErrorCorrectionLevel ecLevel),DecodedBitStreamParser::decode( byte [ ] bytes , Version version , ErrorCorrectionLevel ecLevel , Hashtable hints)
d0c59c4c16e5d344f2d86369345718a9741882e9,DecodedBitStreamParser.java,DecodedBitStreamParser::decode( byte [ ] bytes),DecodedBitStreamParser::decode( byte [ ] bytes , int mode)
0cf9ec342f6fed9a82a65072f987e22a39ea63df,DecodedBitStreamParser.java,DecodedBitStreamParser::decode(int[]codewords),DecodedBitStreamParser::decode( byte [ ] bytes , Version version , ErrorCorrectionLevel ecLevel , Map<DecodeHintType,?> hints)
346de1b561a5eb4ebb0b52d814aa169d9730b0ed,DecodedBitStreamParser.java,DecodedBitStreamParser::decode(int[]codewords),DecodedBitStreamParser::decode( byte [ ] bytes)
d52fd6879e8c3d508295d2569e6277973cb94c7a,DecodedBitStreamParser.java,DecodedBitStreamParser::decode(int[]codewords),DecodedBitStreamParser::decode( byte [ ] bytes , Version version , ErrorCorrectionLevel ecLevel , Map<DecodeHintType,?> hints)
2935184135890f5c350e19e2b05d268014907d4d,DecodedBitStreamParser.java,DecodedBitStreamParser::decode(int[]codewords,String ecLevel),DecodedBitStreamParser::decode( byte [ ] bytes)
